"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",7.51631835594672315,18.56509766869792418
"AGO",2457477.85112511111419735,2458838.11322640627563459
"AIA",0.0,0.5842616608018664
"ARG",4412127.12485911748070512,4417359.76129031924517600
"ATG",58.84759302234266886,90.61950718745442832
"AUS",12674.76080833707684707,12750.97399164527290851
"BDI",24848.88025640736515235,24896.11901882135366979
"BEN",1870.91972175514895649,1959.51137900815975055
"BES",741.83835482845888497,760.59447421466061084
"BGD",96621.28585831154133015,101115.48521385154654218
"BHS",11265.25790703973015896,11920.23427167059673230
"BLZ",1164465.74318594362053270,1165888.95290804192929087
"BOL",40817156.01634540175511475,40833752.27469053253549351
"BRA",343229983.06632858331293824,343383393.97015758663835328
"BRN",431455.22776916335308129,431535.44002962453309112
"BTN",1605449.19991375662753236,1645544.73114514026648301
"CAF",7363125.76102444200746245,7364398.40336064222553973
"CHL",0.0,0.73168401962348088
"CHN",1736513.62674298300733626,1760102.19192935502896258
"CIV",1365239.67649171984350737,1365621.27937028176220745
"CMR",19075628.65885409528317702,19082105.99458009496250170
"COD",104580066.63212275327485284,104595276.48393541173170350
"COG",21153179.37070961663120671,21157919.47192575874542127
"COL",54763585.69937693642367022,54836889.05401405504855586
"CRI",1485835.10087978298901687,1489440.89259771845026753
"CUB",400819.12510951696407396,440563.74288678791633139
"CUW",0.30077198523437502,0.30077198523437502
"CYM",6199.19541270848877105,6849.96901884100860169
"DMA",35963.26813225053240591,36045.68994583906817079
"DOM",316879.65256832867389737,318330.10134541111707271
"ECU",10627032.03596499147813673,10652183.03265356708913180
"ETH",1890183.85911578603225575,1906097.11810496625787163
"FJI",533104.04261129781470427,534683.55123776070317018
"GAB",22669525.28197258674077550,22683205.73050742568455756
"GHA",1090290.34530117162512877,1090490.37544111328210577
"GIN",233461.10348586484529464,235943.42460211932668491
"GLP",36892.28263336212480887,37068.91164447731806346
"GMB",110.53172934183103700,668.73277407976867925
"GNB",71370.57234542754706902,81741.15329690401997570
"GNQ",2246143.71826514718227333,2249638.58477669002921918
"GRD",0.0,0.07523703303982206
"GTM",2583218.75289235870336874,2584881.04200789132802698
"GUF",7854129.36135597214892050,7854979.54190591783406094
"GUY",17293018.22510457686158868,17297898.96320245037662329
"HND",2150089.78598128030999842,2154615.20371470951454902
"HTI",8682.05454945330903664,9193.39914457900484249
"IDN",93837980.89189143499271751,93872257.80225311959022475
"IND",10185416.98953695323930068,10343833.89185069600196168
"JAM",237094.13298517816096672,238183.27249219155266965
"KEN",649579.40279353656565984,650650.98962729391448260
"KHM",4284047.08256087699742330,4312232.98173333558575511
"KNA",5844.24772902311269593,5886.23725926983985428
"LAO",8322187.68979517974685648,8368594.62681570971306987
"LBR",4429048.62732133550242374,4430075.34902439823638471
"LCA",13935.35922150019172442,13973.40430616328342254
"LKA",596014.55848894748824377,596417.44438429235410627
"LSO",1.01109124505316853,1.4154914665603301
"MAF",804.0330856480061544,808.7926445342549329
"MDG",4853676.74651552291378446,4873080.19024577550450119
"MDV",830.4554685327527081,973.5880154298890085
"MEX",9213380.71863651761667096,9267211.97830488735689889
"MMR",14035360.53024007653724572,14142251.84933975662053155
"MOZ",119683.57731065268536979,126644.99912349455355213
"MSR",1728.6078821391009041,1747.7829384975065256
"MTQ",17072.55646532231744947,17257.67813529823837302
"MWI",5236.46643938006428806,5377.17703234572803876
"MYS",15939453.85245978227690593,15947052.63467110255927143
"NGA",1903123.84285448375119454,1917978.40364865690148483
"NIC",2020207.11106102995498959,2025214.00921724797862870
"NPL",725083.75001929015785658,745415.12617106050691324
"PAN",2902228.64970507619611202,2915358.19743056089038023
"PER",69125435.45446618333605848,69170713.83945708671046875
"PHL",4585030.74952114677485755,4588541.11148874620841020
"PLW",19014.72428777298819699,19161.18556947185253311
"PNG",32595230.72163163661490629,32612948.07519992719506019
"PRI",64517.35373877851171961,64748.16663094057434533
"PRY",3481100.08285440446640198,3485706.14505680838045154
"RWA",53730.72965375799800471,53780.76488198097278971
"SEN",3480.83992479827711866,10018.54268699237475443
"SGP",844.09448072411111949,845.70961337411702809
"SLB",1992883.89802173693911467,1995725.98717919739727290
"SLE",276388.13260215005435355,276675.45052436713931487
"SLV",50573.04334131444600069,52840.74251955250607343
"SSD",83749.50427019282709698,83939.59892140268579698
"SUR",12770374.57507828695116497,12775508.64784650591442478
"SXM",255.75278477397720585,258.97531306412834585
"TCA",2806.40593211833710463,3200.90098392215594257
"TGO",1625.66387929181973220,1646.74779881147530330
"THA",5936848.61677846145589023,5971469.48758589949779473
"TLS",350.16136688879010404,350.31372175678652333
"TTO",153656.69922831153210413,153795.79127242435509620
"TWN",606711.37864299736644523,608482.12618387284907516
"TZA",732170.59312121091970620,743477.47026761232719144
"UGA",509095.17434355314927848,509358.27746504726139341
"UMI",61.39992794397908,62.13088605121867
"USA",199884.28652887487541367,200776.05913984514577381
"VCT",6274.50657790149192517,6528.31342471357556336
"VEN",38611292.22233851089284083,38666663.04437435356625565
"VGB",3022.79850752656201548,3120.43756102785715983
"VIR",2723.86548795137844896,2762.61814573655438778
"VNM",6731710.68388972106524108,6793046.09016651032368031
"VUT",367518.92567424157707325,371391.51524416846109825
"ZAF",125516.42733639429513371,125843.54156259426130368
"ZMB",330618.55249580427944025,330654.32048289544682666
"ZWE",7601.29361577548171314,7613.36589132309510214
